id,name,url,router,cover,rating,developer,released,updated,technology,platform,classification,class,wiki,description,tags,embed
1,Space Waves,https://www.crazygames.com/game/space-waves,space-waves,https://images.crazygames.com/space-waves_16x9/20240723090521/space-waves_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,do.games,April 2024,November 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet)",Games » Casual » Avoid,Casual,,"Space Waves is an arcade game where you need to control an arrow to avoid obstacles until you get to the end. There are 33 levels to the game, and you can choose any level you want to play at any time. All levels vary in difficulty and are labeled accordingly with faces; this way you get to decide how courageous you want to be.","Casual, One Button, Mobile, Avoid, Difficult, Side Scrolling, 2D, Obstacle, Skill, Mouse, Arcade",https://www.crazygames.com/embed/space-waves
2,Bloxd io,https://www.crazygames.com/game/bloxdhop-io,bloxdhop-io,https://images.crazygames.com/games/bloxdhop-io/cover_16x9-1709115453824.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.4,Arthur,March 2021,,HTML5,"Browser (desktop,mobile,tablet)",Games » .io » Adventure » Minecraft,.io,Fandom,"Bloxd.io is an IO adventure game featuring Minecraft graphics and various game modes. The game modes feature parkour, sandbox creativity, and combat, depending on which mode you choose to play.",".io, Sandbox, Mobile, Parkour, Minecraft, Avoid, Jumping, Third Person Shooter, Building, With Friends, Multiplayer, Block",https://www.crazygames.com/embed/bloxdhop-io
3,Free GeoGuessr,https://www.crazygames.com/game/worldguessr,worldguessr,https://images.crazygames.com/worldguessr_16x9/20241018082520/worldguessr_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.5,codergautam,October 2024,,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Casual » Quiz,Casual,,"Worldguessr is a casual quiz game, a free alternative to Geoguessr, perfect for testing and expanding your geography skills through immersive Street View exploration. Each round, you will find yourself dropped into random locations around the globe, with only environmental clues to guide you in pinpointing your exact whereabouts. From cityscapes to rural roads, your surroundings become the puzzle pieces you need to analyze, turning each game into a thrilling geographical investigation.","Casual, Mobile, 3D, Quiz, With Friends, Trivia, Multiplayer",https://www.crazygames.com/embed/worldguessr
4,Ragdoll Archers,https://www.crazygames.com/game/ragdoll-archers,ragdoll-archers,https://images.crazygames.com/ragdoll-archers_16x9/20240205020743/ragdoll-archers_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9.2,Ericetto,August 2023,July 2024,HTML5,"Browser (desktop,mobile,tablet),App Store(Android)",Games » Casual » Shooting » Archery,Casual,,Ragdoll Archers is an archery game featuring bow and arrow-equipped stickmen with ragdoll physics. Fire arrows at a range of opponents while earning points to upgrade your abilities and ammunition. Play two-player PvP against your friend or team up with them to defeat a range of foes!,"Casual, 2 Player, Arena, Physics, Co-op, Stickman, Archery, Ragdoll, Arcade",https://www.crazygames.com/embed/ragdoll-archers
5,Outlets Rush,https://www.crazygames.com/game/outlets-rush,outlets-rush,https://images.crazygames.com/outlets-rush_16x9/20241021054642/outlets-rush_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,Supercent,November 2024,November 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Casual » Arcade,Casual,,"Outlets Rush is a time-management game where you become the master of your own shopping empire. Build and expand various stores, manage staff, and make strategic decisions to keep customers happy. Enjoy watching your mini outlets grow into massive retail hubs as you effortlessly manage operations and maximize profits! Dive into the excitement of creating your ultimate shopping destination!","Casual, Mobile, Shop, Tycoon, Management, Stickman, Arcade",https://www.crazygames.com/embed/outlets-rush
6,DEADSHOT io,https://www.crazygames.com/game/deadshot-io,deadshot-io,https://images.crazygames.com/games/deadshot-io/cover_16x9-1694770506842.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.9,GoalieSave25,October 2022,,HTML5,"Browser (desktop,mobile,tablet)",Games » .io » Shooting » FPS,.io,Fandom,"DEADSHOT.io is a fast-paced, adrenaline-pumping IO first-person shooter game that throws you into intense battles across various dynamic maps. With a vast arsenal of weapons and multiple game modes, you'll never run out of ways to test your skills. Challenge your friends or take on players from around the globe in thrilling matches, and don’t forget to log in to unlock exclusive features and perks that will give you the edge on the battlefield!",".io, 3D, Arena, Gun, Party, Multiplayer, FPS",https://www.crazygames.com/embed/deadshot-io
7,Racing Limits,https://www.crazygames.com/game/racing-limits,racing-limits,https://images.crazygames.com/racing-limits_16x9/20231106035424/racing-limits_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.7,Valvolex,November 2023,November 2024,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Driving » Car,Driving,,"Racing Limits is a racing game that lets you push your skills to the max. Race and overtake vehicles in city and highway traffic with four thrilling game modes: carrier, infinite, against-time, and free mode. Choose between one-way and two-way traffic, and experience three times of day - 'Morning,' 'Sunset,' and 'Night.' With multiple camera angles, sensitive controls, and realistic physics, it's a high-speed adventure you won't want to miss. Customize, upgrade, and take on numerous race events in this graphically stunning racing world!","Driving, Mobile, 3D, Simulation, Car, Racing, With Friends, Drifting, Multiplayer, Speed, Mission",https://www.crazygames.com/embed/racing-limits
8,Evowars,https://www.crazygames.com/game/evowarsio,evowarsio,https://images.crazygames.com/games/evowarsio/cover_16x9-1727684263984.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8,Night Steed Games,March 2018,December 2023,HTML5,"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » .io » Battle,.io,,EvoWars.io is an IO battle game set in a top-down online battle arena. Collect orbs and battle other players to evolve your warrior. Each evolution improves your weapon range but slows your movement. How many will you slay before you fall?,".io, Grow, Top-Down, Battle, With Friends, Party, Multiplayer",https://www.crazygames.com/embed/evowarsio
9,Golf Orbit,https://www.crazygames.com/game/golf-orbit,golf-orbit,https://images.crazygames.com/golf-orbit_16x9/20240620070701/golf-orbit_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,9,QuietGames,June 2024,,HTML5 (Unity WebGL),"Browser (desktop,mobile,tablet),App Store(iOS,Android)",Games » Sports » Golf,Sports,,"Golf Orbit is an exciting golf simulator game within our sports category where you aim to launch golf balls to incredible heights, even reaching Mars. Have fun in one-shot golf battles, complete challenging levels, and master the art of the perfect shot. Compete to become the golf king in this entertaining and unique golfing adventure.","Sports, Mobile, Golf, Physics, Ball, 2D, Obstacle, Mouse",https://www.crazygames.com/embed/golf-orbit
10,PolyTrack,https://www.crazygames.com/game/polytrack,polytrack,https://images.crazygames.com/polytrack_16x9/20240814074159/polytrack_16x9-cover?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=1200&h=630&fit=crop,8.1,Kodub,August 2024,November 2024,HTML5,"Browser (desktop,mobile,tablet)",Games » Driving » Car,Driving,,"PolyTrack is a fast-paced, low-poly driving game featuring thrilling loops, jumps, and high-speed action where every millisecond counts. Inspired by TrackMania, it challenges you to race against the clock, constantly striving to improve your time on various tracks built by you and the Polytrack community! It doesn't get any more hands-on than that.","Driving, 3D, Car, Building, Drifting, Speed",https://www.crazygames.com/embed/polytrack
